timestamp_ms,open,high,low,close,volume
1728950400000,66064.9,67953.7,64771.7,67044.1,422005.511
1729036800000,67044,68400,66724.2,67592,254153.501
1729123200000,67592,67925.9,66600,67401.5,220272.837
1729209600000,67401.5,69000,67165,68407.8,245301.761
1729296000000,68407.8,68684.9,68000,68357.1,68632.108
1729382400000,68357.1,69425.8,68069.8,69020.1,105939.492
1729468800000,69020.2,69566,66865.9,67368.8,253437.333
1729555200000,67368.7,67825,66536.5,67406.4,218518.977
1729641600000,67406.5,67449,65222.3,66647.2,248215.058
1729728000000,66647.3,68842.5,66482,68173.8,212340.722
1729814400000,68173.8,68748,65557.2,66662.8,348511.871
1729900800000,66662.7,67450,66414.1,67071.8,94169.992
1729987200000,67071.9,68306.1,66909.4,67992.6,88468.808
1730073600000,67992.7,70331,67584.2,69940,256128.622
1730160000000,69939.9,73660,69733,72739.5,382502.06
1730246400000,72739.5,72984.9,71444.2,72349,227108.808
1730332800000,72349,72720.3,69705,70321.9,256485.328
1730419200000,70321.9,71650,68822.5,69495.5,352591.088
1730505600000,69495.4,69913.1,69022.8,69366.6,79314.105
1730592000000,69366.6,69393.7,67446.6,68762.5,226477.376
1730678400000,68762.5,69495.3,66810,67834.3,244912.166
1730764800000,67834.4,70537.4,67454.2,69353.1,273070.87
1730851200000,69353.1,76420,69272.7,75579.9,677440.286
1730937600000,75579.9,76900,74450,75859.4,280675.033
1731024000000,75859.4,77182.9,75576.3,76482.2,230370.324
1731110400000,76482.2,76920,75683.2,76675.1,117754.034
1731196800000,76675.1,81699.8,76501.1,80410,417426.899
1731283200000,80409.9,89800,80261.2,88728.9,614141.662
1731369600000,88729,90070.1,85159.9,87972,639481.584
1731456000000,87972,93421.1,86180,90413.3,555288.297
1731542400000,90413.3,91846.1,86714,87382.7,364621.68
1731628800000,87382.6,91921.5,87111,91074.6,314431.908
1731715200000,91074.6,91849.8,90120,90643.3,129023.447
1731801600000,90643.2,91539.6,88736.1,89899.9,167504.792
1731888000000,89900,92700,89422.1,90507.4,333557.11
1731974400000,90507.4,93985.9,90405.6,92335.9,303532.031
1732060800000,92335.9,94849,91500,94288,290044.227
1732147200000,94288,99100,94008.7,98366.8,418383.136
1732233600000,98366.8,99660,97199.9,98921.4,265774.067
1732320000000,98921.5,98937.3,97173.5,97725.5,120358.422
1732406400000,97725.6,98666,95822.1,97960.4,173118.84
1732492800000,97960.5,98999,92666,93064,329375.021
1732579200000,93064,95064,90866.4,92021.4,344929.233
1732665600000,92021.5,97250,91864,95905.2,237005.987
1732752000000,95905.2,96627.6,94700.1,95694.4,154007.026
1732838400000,95694.4,98713.3,95404.5,97516.3,190520.949
1732924800000,97516.2,97522.1,96150,96475.1,93074.218
1733011200000,96475.2,97933,95736.5,97265.1,113222.99
1733097600000,97265,98266,94400,95890.5,257613.911
1733184000000,95890.6,96375,93605,95913.3,206601.98
1733270400000,95913.3,99099.9,94650.8,98669.8,275949.205
1733356800000,98669.8,104630.4,90200,97001.5,580277.3909999999
1733443200000,97001.6,101988.8,96429.5,99802.5,282369.608
1733529600000,99802.5,100499,98876.9,99899.2,95858.658
1733616000000,99899.2,101457.9,98709.4,101200,109755.676
1733702400000,101200.1,101300,94039.7,97349.1,326973.59
1733788800000,97349.1,98320.6,94265.5,96602.4,291490.744
1733875200000,96602.3,101880,95650,101115.3,221807.705
1733961600000,101115.3,102538.4,99280.2,99982.4,215219.075
1734048000000,99982.3,101869.5,99149.6,101371.9,152437.318
1734134400000,101371.9,102638,100559.8,101381,107680.549
1734220800000,101381,105374.6,101200.1,104460.4,157733.916
1734307200000,104460.5,107777,103264.6,106023.2,274395.756
1734393600000,106023.2,108366.8,105252,106074.6,197773.912
1734480000000,106074.6,106484.6,99951.1,100181.1,328581.935
1734566400000,100181.2,102756.7,95681.2,97434.4,372968.463
1734652800000,97434.3,98243,92272.6,97764.4,396188.795
1734739200000,97764.5,99485,96375,97261.8,161258.48
1734825600000,97261.7,97437.9,94200,95153.5,148114.735
