timestamp_ms,open,high,low,close,volume
1609459200000,9.264,9.445,8.097,8.287,50583028.700000003
1609545600000,8.287,9.876,7.888,9.213,64951391.200000003
1609632000000,9.213,10.558,8.862,10.187,57323818.299999997
1609718400000,10.188,10.584,8.666,9.524,47943722.200000003
1609804800000,9.524,10.09,9.005,9.727,28997019.6999999993
1609891200000,9.736,10.55,9.463,10.082,30740975.8000000007
1609977600000,10.089,10.757,9.35,9.66,32630386.8999999985
1610064000000,9.663,9.846,8.8,9.303,25356450.5
1610150400000,9.306,9.866,9.051,9.756,17809407.1999999993
1610236800000,9.762,10.036,8.635,9.306,22581383.8000000007
1610323200000,9.306,9.341,7.08,8.269,49149219.200000003
1610409600000,8.262,8.717,7.927,8.299,17754425.6000000015
1610496000000,8.301,11.423,7.98,10.955,41110779.5
1610582400000,10.964,14.799,10.9,14.5,65840041.8999999985
1610668800000,14.53,15.021,11.771,13.158,69143443.5
1610755200000,13.158,19.492,13.152,17.943,85164987.799999997
1610841600000,17.946,18.252,16.281,17.091,50857981.799999997
1610928000000,17.09,18.25,15.801,16.601,30254407.6000000015
1611014400000,16.595,17.579,16.019,16.411,25134220.8999999985
1611100800000,16.411,18.273,14.8,18.017,43651933.3999999985
1611187200000,18.022,18.2,14.936,16.01,48007550.6000000015
1611273600000,16.016,18.021,14.666,17.134,39246882
1611360000000,17.134,18.848,16.804,18.771,32037873.3000000007
1611446400000,18.774,18.786,17.23,18.002,20148331.3999999985
1611532800000,18.003,19.17,17.082,17.216,23728209.3999999985
1611619200000,17.215,17.809,16.03,17.117,17951438.1999999993
1611705600000,17.123,17.148,15.065,15.451,22808197.8999999985
1611792000000,15.448,17.506,15.276,16.896,19734954.3999999985
1611878400000,16.897,17.82,16,16.831,21195359.1999999993
1611964800000,16.833,17.099,16.126,16.55,12136769.3000000007
1612051200000,16.553,17.602,15.655,16.144,13949745.9000000004
1612137600000,16.144,16.579,15.703,16.468,10333533.0999999996
1612224000000,16.466,17.704,16.065,17.213,18555700.3999999985
1612310400000,17.216,20.97,16.864,20.88,38717930.200000003
1612396800000,20.879,21.946,19.01,19.695,35648972.700000003
1612483200000,19.695,21.472,19.377,20.881,25124472.5
1612569600000,20.873,21.509,19.839,20.405,17725677.8000000007
1612656000000,20.405,20.85,18.403,19.765,20961242.6000000015
1612742400000,19.765,23.777,19.2,23.04,34084912.5
1612828800000,23.05,24.269,22.25,23.126,18748202.3000000007
1612915200000,23.116,25.053,21.789,23.615,27330060.5
1613001600000,23.616,25.8,23.23,25.06,21511694.6999999993
1613088000000,25.063,29.85,24.525,28.702,24039557.8000000007
1613174400000,28.705,30.328,27.232,28.073,21188201.6000000015
1613260800000,28.077,29.517,26.41,26.931,15452172.9000000004
1613347200000,26.939,29.641,23,27.831,28367677.6999999993
1613433600000,27.842,31.1,26.797,30.12,27106901.1999999993
1613520000000,30.129,32.547,29.655,31.988,20888293.6999999993
1613606400000,31.987,32.699,30.581,31.156,10578478.3000000007
1613692800000,31.155,35.098,29.553,34.872,19566331.1000000015
1613779200000,34.878,42.395,34.752,38.979,35310361
1613865600000,38.976,40.636,38.095,39.632,18338418.6999999993
1613952000000,39.629,39.815,30.038,37.663,31628718.6999999993
1614038400000,37.66,37.904,26.116,34.544,40564480.5
1614124800000,34.554,36.84,31.839,33.642,23026108.6000000015
1614211200000,33.656,35.263,30.86,31.24,16301674.8000000007
1614297600000,31.255,33.528,27.953,31.449,28569767.8999999985
1614384000000,31.444,35.7,31.335,33.491,25696093.8999999985
1614470400000,33.486,34.543,29.692,33.805,24909468
1614556800000,33.817,35.711,33.024,35.677,16295645.0999999996
1614643200000,35.675,37.976,34.387,36.136,20430023
1614729600000,36.148,38.742,36.096,37.043,16145054.0999999996
1614816000000,37.041,38.413,34.387,35.277,16195851.8000000007
1614902400000,35.277,35.304,31.364,33.64,19390318.3000000007
1614988800000,33.643,34.251,32.09,33.395,11070924.6999999993
1615075200000,33.405,35.371,33.404,35.132,10300042.8000000007
1615161600000,35.14,35.603,33.463,35.023,11075215.3000000007
1615248000000,35.025,38.962,34.576,38.291,20194589
1615334400000,38.293,39.635,36.318,37.584,21562003.8000000007
1615420800000,37.596,38.111,35.879,36.957,15347670.4000000004
1615507200000,36.954,37.552,34.386,35.957,12707699.0999999996
1615593600000,35.981,38.412,34.74,37.242,12412835.8000000007
1615680000000,37.255,38.049,36.313,36.454,10328726.9000000004
1615766400000,36.453,38.652,33.699,34.33,18687485.3000000007
1615852800000,34.321,35.583,32.01,35.44,15057332.0999999996
1615939200000,35.44,36.48,34.418,36.154,12297926.3000000007
1616025600000,36.153,37.072,35.335,35.386,10298064.0999999996
1616112000000,35.388,38.96,34.643,38.252,17582921.3000000007
1616198400000,38.24,40.21,37.19,37.272,15773431.3000000007
1616284800000,37.272,38.151,36.129,36.723,12061765
1616371200000,36.727,37.844,35.052,35.278,12373196.3000000007
1616457600000,35.284,36.337,34.046,34.237,10775906.4000000004
1616544000000,34.232,36.165,27.12,30.193,21832780.8000000007
1616630400000,30.203,31.275,28.397,29.807,26515392.5
1616716800000,29.807,33.4,29.792,33.195,13493384
1616803200000,33.187,33.534,31.158,32.628,12413221.4000000004
1616889600000,32.626,33.284,31.258,32.269,8338671.5999999996
1616976000000,32.27,34.775,31.792,34.391,11325373.4000000004
1617062400000,34.391,34.9,33.554,34.039,8716009.4000000004
1617148800000,34.046,38.366,33.24,37.122,23952931.8000000007
1617235200000,37.122,39.086,36.111,37.511,15231237.5
1617321600000,37.514,41.507,36.66,41.135,17315062.5
1617408000000,41.135,46.899,41.047,41.421,35312275.299999997
1617494400000,41.43,45.164,40.739,44.372,16594721.5999999996
1617580800000,44.374,46.008,41.859,45.93,16534010.9000000004
1617667200000,45.923,46.471,41.681,43.4,17487479.8000000007
1617753600000,43.404,43.578,37.651,39.571,22515789.6000000015
1617840000000,39.575,41.666,39.272,41.372,11017036.4000000004
1617926400000,41.365,42.168,40.136,40.847,8688716.3000000007
1618012800000,40.847,42.871,40.011,41.657,11149156.5999999996
1618099200000,41.663,41.998,40.1,41.4,8469809.1999999993
1618185600000,41.411,41.877,39.429,40.539,9371896.5999999996
1618272000000,40.539,43.582,39.909,43.021,14998428.6999999993
1618358400000,43.03,44.732,40.026,42.584,20585845.8000000007
1618444800000,42.582,44.5,41.522,43.494,15846396
1618531200000,43.495,43.888,40.01,41.451,18525254.5
1618617600000,41.45,48.539,41.435,42.09,33488005.3999999985
1618704000000,42.099,42.772,31.176,37.356,48189400.200000003
1618790400000,37.356,38.735,33.958,34.767,22129685.5
1618876800000,34.774,35.8,31.549,35.42,23355838
1618963200000,35.423,36.358,33.047,33.817,18123651.8999999985
1619049600000,33.827,36.83,32.802,32.963,22982564.1999999993
1619136000000,32.96,33.535,26.452,32.257,33395778.1000000015
1619222400000,32.255,32.429,28.555,29,16745239.8000000007
1619308800000,29,31.349,28.1,29.831,14293436.0999999996
1619395200000,29.839,33.5,29.751,33.41,15063885.9000000004
1619481600000,33.408,34.988,33.184,34.824,13514086.9000000004
1619568000000,34.836,35.437,32.6,34,13264606.1999999993
1619654400000,33.996,36.015,33.01,35.989,12659208
1619740800000,35.992,36.866,35.137,36.553,15819473.5999999996
1619827200000,36.554,37.421,35.789,36.959,11979611.0999999996
1619913600000,36.957,37.232,35.47,36.658,11217607.8000000007
1620000000000,36.655,38.381,36.633,37.296,14684144.1999999993
1620086400000,37.306,38.002,34.4,34.796,21499084.3999999985
1620172800000,34.798,40.849,34.555,40.477,21794009.5
1620259200000,40.476,44.215,38.026,41.637,30580933.5
1620345600000,41.642,42.805,38.3,39.865,22928084.6000000015
1620432000000,39.871,40.73,38.748,39.953,10914755.8000000007
1620518400000,39.956,40.6,38.198,40.347,14289094.3000000007
1620604800000,40.328,41.895,32,36.479,23334284.5
1620691200000,36.479,38.708,35.58,38.665,14215182.8000000007
1620777600000,38.665,42.571,33.644,35.072,29184708.6000000015
1620864000000,35.072,41.926,32.8,40.027,45175868.6000000015
1620950400000,40.028,48.184,39.433,48.063,37234079.3999999985
1621036800000,48.064,49.855,42.783,43.66,41668486.8999999985
1621123200000,43.673,46.773,39.3,42.461,27139702.3000000007
1621209600000,42.466,42.55,35.132,38.732,30985017.6000000015
1621296000000,38.725,42.599,37.688,40.616,24162448.1999999993
1621382400000,40.642,41.445,15.376,25.061,69636761.5
1621468800000,25.051,31.3,21.071,28.942,51882967
1621555200000,28.941,31.01,19.959,24.4,50897272.6000000015
1621641600000,24.389,24.618,20.312,22.052,36868429.299999997
1621728000000,22.06,23.467,13.611,17.906,68972958.799999997
1621814400000,17.905,23.477,17.071,23.268,44312245.799999997
1621900800000,23.26,24.218,19.615,22.141,34542082.299999997
