date,coin,news_count,pos,neu,neg,mean_sentiment
2017-11-11,BTC,7,0,7,0,0
2017-11-11,ETH,3,0,3,0,0
2017-11-12,BTC,2,0,2,0,0
2017-11-12,ETH,1,0,1,0,0
2017-11-13,BTC,8,0,8,0,0
2017-11-13,ETH,2,0,2,0,0
2017-11-14,BTC,12,0,12,0,0
2017-11-15,BTC,9,0,9,0,0
2017-11-15,ETH,3,0,3,0,0
2017-11-16,BTC,10,0,10,0,0
2017-11-16,ETH,4,0,4,0,0
2017-11-17,BTC,13,0,13,0,0
2017-11-17,ETH,2,0,2,0,0
2017-11-18,BTC,7,0,7,0,0
2017-11-18,ETH,2,0,2,0,0
2017-11-19,BTC,4,0,4,0,0
2017-11-19,ETH,1,0,1,0,0
2017-11-20,BTC,14,0,14,0,0
2017-11-20,ETH,3,0,3,0,0
2017-11-21,BTC,13,0,13,0,0
2017-11-21,ETH,3,0,3,0,0
2017-11-22,BTC,10,0,10,0,0
2017-11-22,ETH,2,0,2,0,0
2017-11-23,BTC,9,0,9,0,0
2017-11-23,ETH,2,0,2,0,0
2017-11-24,BTC,7,0,7,0,0
2017-11-24,ETH,5,0,5,0,0
2017-11-25,BTC,6,0,6,0,0
2017-11-25,ETH,2,0,2,0,0
2017-11-26,BTC,8,0,8,0,0
2017-11-26,ETH,1,0,1,0,0
2017-11-27,BTC,13,0,13,0,0
2017-11-27,ETH,2,0,2,0,0
2017-11-28,BTC,14,0,14,0,0
2017-11-28,ETH,2,0,2,0,0
2017-11-29,BTC,11,0,11,0,0
2017-11-29,ETH,3,0,3,0,0
2017-11-30,BTC,18,0,18,0,0
2017-11-30,ETH,2,0,2,0,0
2017-12-01,BTC,18,0,18,0,0
2017-12-01,ETH,3,0,3,0,0
2017-12-02,BTC,6,0,6,0,0
2017-12-02,ETH,2,0,2,0,0
2017-12-03,BTC,8,0,8,0,0
2017-12-03,ETH,2,0,2,0,0
2017-12-04,BTC,8,0,8,0,0
2017-12-04,ETH,3,0,3,0,0
2017-12-05,BTC,13,0,13,0,0
2017-12-05,ETH,3,0,3,0,0
2017-12-06,BTC,15,0,15,0,0
2017-12-06,ETH,6,0,6,0,0
2017-12-07,BTC,12,0,12,0,0
2017-12-07,ETH,3,0,3,0,0
2017-12-08,BTC,15,0,15,0,0
